"","combinedPval","adjustedPval"
"AL669831.5",0.800114168120479,1
"LINC00115",0.218368869575107,1
"SAMD11",0.34329411174833,1
"NOC2L",0.083647816660386,1
"KLHL17",0.168781188620995,1
"AL645608.8",0.0313973224957351,0.856912130367228
"HES4",0.0183217130104565,0.556269223259836
"ISG15",1.72444281076878e-11,2.3824130474116e-09
"AGRN",0.099839430008227,1
"C1orf159",0.381282970045837,1
"AL390719.2",0.277691087166452,1
"TNFRSF18",0.814737832890271,1
"TNFRSF4",0.212405595360253,1
"SDF4",0.0484763159535612,1
"B3GALT6",0.0208285531853526,0.618215851624796
"C1QTNF12",0.277177295033895,1
"UBE2J2",0.260763391658367,1
"SCNN1D",0.0532821146650144,1
"ACAP3",0.0723901009494335,1
"PUSL1",0.67312964338892,1
"INTS11",0.801559873390288,1
"CPTP",0.0981095700747232,1
"DVL1",0.961211696472028,1
"MXRA8",0.960123554001578,1
"AURKAIP1",0.955639437866648,1
"CCNL2",0.00976291204122726,0.330482379160018
"MRPL20",0.000111300020155802,0.00656799802858353
"AL391244.3",0.18977354670736,1
"ANKRD65",0.262503908192412,1
"VWA1",6.76416026872758e-42,4.97707949308044e-39
"ATAD3C",0.293924846109514,1
"ATAD3B",0.831622366311162,1
"ATAD3A",0.244095764584168,1
"TMEM240",0.629681779799724,1
"SSU72",3.47660717991971e-07,3.01427042454043e-05
"AL645728.1",0.975055024426741,1
"FNDC10",0.00366223185163206,0.142663053965044
"AL691432.2",0.847032480249241,1
"MIB2",0.276172289017261,1
"MMP23B",0.470688768689679,1
"CDK11B",0.0496688979788776,1
"SLC35E2B",0.0191116171894836,0.576600405879531
"CDK11A",0.592948308396112,1
"SLC35E2A",0.00254744384000927,0.104392971245486
"NADK",0.259226224680787,1
"GNB1",1.19237952844742e-13,2.0053821361783e-11
"AL109917.1",0.602585458279611,1
"TMEM52",0.0538592245509902,1
"CFAP74",0.271062480761219,1
"GABRD",4.8780014137281e-36,2.95584546079351e-33
"PRKCZ",7.01156836524497e-06,0.00051021787899878
"FAAP20",0.092740262452917,1
"SKI",0.959951100862429,1
"MORN1",0.0365473666141947,0.971254478391084
"RER1",0.00207416985710662,0.0874331786754574
"PEX10",0.929848207162289,1
"PLCH2",0.114220923510008,1
"PANK4",0.0918077312474493,1
"HES5",0.881648264263746,1
"AL139246.5",0.060791444462146,1
"TNFRSF14-AS1",0.187596321467579,1
"TNFRSF14",0.015124672369479,0.475416960165921
"FAM213B",0.00305410319165533,0.122237953692953
"MMEL1",0.709146217007864,1
"LINC00982",0.317817572019072,1
"PRDM16",0.939350684221633,1
